2025-11-04 13:31:14, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:31:14, mode=PVAI, level=Easy, move=1, ms=0.001
2025-11-04 13:31:14, mode=PVAI, level=Easy, move=1, ms=0.005
2025-11-04 13:31:14, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:31:15, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:31:15, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:31:15, mode=PVAI, level=Easy, move=1, ms=0.006
2025-11-04 13:31:15, mode=PVAI, level=Easy, move=1, ms=0.007
2025-11-04 13:31:15, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:31:16, mode=PVAI, level=Hard, move=1, ms=16.701
2025-11-04 13:31:16, mode=PVAI, level=Hard, move=1, ms=16.512
2025-11-04 13:31:16, mode=PVAI, level=Hard, move=1, ms=16.666
2025-11-04 13:31:16, mode=PVAI, level=Hard, move=1, ms=16.941
2025-11-04 13:31:16, mode=PVAI, level=Hard, move=1, ms=16.946
2025-11-04 13:31:17, mode=PVAI, level=Hard, move=1, ms=17.263
2025-11-04 13:31:17, mode=PVAI, level=Hard, move=1, ms=16.537
2025-11-04 13:31:17, mode=PVAI, level=Hard, move=1, ms=16.654
2025-11-04 13:31:17, mode=PVAI, level=Hard, move=1, ms=16.474
2025-11-04 13:31:17, mode=PVAI, level=Hard, move=1, ms=16.762
2025-11-04 13:31:17, mode=PVAI, level=Hard, move=1, ms=16.771
2025-11-04 13:31:18, mode=PVAI, level=Hard, move=1, ms=16.729
2025-11-04 13:36:05, mode=PVAI, level=Easy, move=1, ms=0.001
2025-11-04 13:36:11, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:36:12, mode=PVAI, level=Easy, move=1, ms=0.006
2025-11-04 13:36:13, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:36:14, mode=PVAI, level=Easy, move=1, ms=0.008
2025-11-04 13:36:14, mode=PVAI, level=Easy, move=1, ms=0.009
2025-11-04 13:36:15, mode=PVAI, level=Easy, move=1, ms=0.007
2025-11-04 13:36:15, mode=PVAI, level=Easy, move=1, ms=0.004
2025-11-04 14:31:49, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 14:31:49, mode=PVAI, level=Easy, move=2, ms=0.003
2025-11-04 14:31:49, mode=PVAI, level=Easy, move=3, ms=0.005
2025-11-04 14:31:51, mode=PVAI, level=Hard, move=1, ms=2.202
2025-11-04 14:31:51, mode=PVAI, level=Hard, move=2, ms=0.040
2025-11-04 14:31:51, mode=PVAI, level=Hard, move=3, ms=0.006
2025-11-04 14:31:52, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 14:31:53, mode=PVAI, level=Hard, move=1, ms=1.956
2025-11-04 14:31:53, mode=PVAI, level=Hard, move=2, ms=0.058
2025-11-04 14:31:54, mode=PVAI, level=Hard, move=3, ms=0.003
2025-11-04 14:31:54, mode=PVAI, level=Hard, move=1, ms=2.060
2025-11-04 14:31:55, mode=PVAI, level=Hard, move=2, ms=0.040
2025-11-04 14:31:55, mode=PVAI, level=Hard, move=3, ms=0.006
2025-11-04 14:31:56, mode=PVAI, level=Hard, move=4, ms=0.002
2025-11-04 14:31:57, mode=PVAI, level=Hard, move=1, ms=2.226
2025-11-04 14:31:57, mode=PVAI, level=Hard, move=2, ms=0.099
2025-11-04 14:31:58, mode=PVAI, level=Hard, move=3, ms=0.006
2025-11-04 14:31:59, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 14:32:00, mode=PVAI, level=Hard, move=1, ms=1.953
2025-11-04 14:32:00, mode=PVAI, level=Hard, move=2, ms=0.036
2025-11-04 14:32:01, mode=PVAI, level=Hard, move=3, ms=0.005
2025-11-04 14:32:02, mode=PVAI, level=Hard, move=1, ms=2.498
2025-11-04 14:32:02, mode=PVAI, level=Hard, move=2, ms=0.060
2025-11-04 14:32:03, mode=PVAI, level=Hard, move=3, ms=0.006
2025-11-04 14:32:03, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 14:32:04, mode=PVAI, level=Hard, move=1, ms=2.375
2025-11-04 14:32:05, mode=PVAI, level=Hard, move=2, ms=0.039
2025-11-04 14:32:06, mode=PVAI, level=Hard, move=3, ms=0.008
2025-11-04 14:32:07, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 14:32:08, mode=PVAI, level=Hard, move=1, ms=2.402
2025-11-04 14:32:08, mode=PVAI, level=Hard, move=2, ms=0.063
2025-11-04 14:32:09, mode=PVAI, level=Hard, move=3, ms=0.005
2025-11-04 14:32:10, mode=PVAI, level=Hard, move=4, ms=0.001
